is_study,is_coding,is_social,is_ai,is_media,duration,hour,label
0,1,0,0,0,2.85,14,0
0,1,0,0,0,6.0,14,0
0,1,0,0,0,3.0,14,0
0,0,1,0,0,2.0,14,0
0,1,0,0,0,3.0,14,0
0,0,1,0,0,2.0,14,0
1,0,0,0,0,88.05,14,1
0,0,0,0,0,1.0,14,0
0,0,1,0,0,33.03,14,0
1,0,0,0,0,113.07,14,1
0,0,0,0,0,2.0,14,0
0,0,1,0,0,33.02,14,0
1,0,0,0,0,252.17,14,1
0,0,0,0,0,1.0,14,0
0,0,1,0,0,59.03,14,0
1,0,0,0,0,133.09,14,1
0,0,1,0,0,100.05,14,0
1,0,0,0,0,98.06,15,1
0,0,0,0,0,1.0,15,0
0,0,1,0,0,45.03,15,0
0,0,0,0,0,1.0,15,0
1,0,0,0,0,2.0,15,0
0,0,1,0,0,14.01,15,0
1,0,0,0,0,14.01,15,1
0,0,0,0,0,5.0,15,0
0,0,0,0,0,31.02,15,0
0,0,0,0,0,9.01,15,0
1,0,0,0,0,3.01,15,0
0,0,1,0,0,32.02,15,0
1,0,0,0,0,2.0,15,0
0,0,0,0,0,1.0,15,0
0,0,1,0,0,30.04,15,0
0,0,0,0,0,1.0,15,0
1,0,0,0,0,168.12,15,1
0,0,1,0,0,10.01,15,0
0,0,0,0,0,1.0,15,0
0,0,1,0,0,10.01,15,0
1,0,0,0,0,96.07,15,1
0,0,1,0,0,59.03,15,0
1,0,0,0,0,79.05,15,1
0,0,1,0,0,46.03,15,0
1,0,0,0,0,1.0,15,0
0,0,0,0,0,1.0,15,0
0,1,0,0,0,7.0,15,0
1,0,0,0,0,119.08,15,1
0,1,0,0,0,1.0,15,0
0,0,0,0,0,1.0,15,0
0,0,1,0,0,89.06,15,0
1,0,0,0,0,109.07,15,1
0,0,1,0,0,8.01,15,0
1,0,0,0,0,124.09,15,1
0,0,1,0,0,24.01,15,0
1,0,0,0,0,398.26,15,1
0,0,0,0,0,1.01,15,0
0,0,1,0,0,6.0,15,0
0,0,0,0,0,1.0,15,0
1,0,0,0,0,46.03,15,1
0,0,1,0,0,70.04,15,0
1,0,0,0,0,1.0,15,0
0,0,0,0,0,3.0,15,0
1,0,0,0,0,22.01,15,1
1,0,0,0,0,5.0,15,0
1,0,0,0,0,7.0,15,0
