Window,Start time,Duration
tracker.py - focus-guard - Visual Studio Code,2026-04-18 09:38:45,7.0
Task Switching,2026-04-18 09:38:52,5.0
9709_w25_ms_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:38:57,15.01
9709_w25_qp_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:39:12,86.06
9709_w25_ms_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:40:38,1.0
9709_w25_qp_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:40:39,85.06
9709_w25_ms_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:42:04,25.01
9709_w25_qp_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:42:29,4.0
9709_w25_ms_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:42:33,15.01
9709_w25_qp_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:42:48,63.04
9709_w25_ms_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:43:51,2.0
9709_w25_qp_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:43:53,285.18
9709_w25_ms_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:48:39,96.06
9709_w25_qp_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:50:15,162.11
9709_w25_ms_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:52:57,23.02
9709_w25_qp_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:53:20,145.09
9709_w25_ms_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:55:45,41.03
9709_w25_qp_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 09:56:26,481.31
9709_w25_ms_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 10:04:27,155.1
9709_w25_qp_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 10:07:02,49.03
9709_w25_ms_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 10:07:51,97.07
9709_w25_qp_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 10:09:28,2.0
9709_w25_ms_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 10:09:30,34.02
9709_w25_qp_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 10:10:04,6.0
9709_w25_ms_43.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 10:10:10,5.0
9709_w25_qp_45.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 10:10:15,417.28
Shubh - Cheques,2026-04-18 10:17:13,1.0
Shubh - No Love,2026-04-18 10:17:14,1.0
Shubh - King Shit,2026-04-18 10:17:15,3.0
Chaar Diwaari - Farebi,2026-04-18 10:17:18,1.0
AP Dhillon - Excuses,2026-04-18 10:17:19,3.0
Rushy - Pressure,2026-04-18 10:17:22,1.0
JBEE - 90mph,2026-04-18 10:17:23,1.0
Bazzi - Fantasy,2026-04-18 10:17:24,2.0
9709_w25_qp_45.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 10:17:26,165.1
New Tab - Google Chrome,2026-04-18 10:20:11,1.0
9709_w25_ms_45.pdf | CAIE | PapaCambridge - Google Chrome,2026-04-18 10:20:12,86.05
New Tab - Google Chrome,2026-04-18 10:21:38,1.0
